point_idx,sim_idx,parcelle,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,N_lixi,DeltaCorg,Yield
9069,90,beauce_5_sa_069,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.00890653211181,-24.0,217.99615333547095,240.0259524285711,281.5,337.18088404702394,93.2447021414861,55.0,37.34713451214791,55.0,55.0,55.0,21.67,-590.64,4.24
9070,90,beauce_5_sa_070,2.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,88.31984604255427,-43.93443835560628,308.72374301409076,259.91669292922603,281.5,348.3924298827658,50.26608310596859,51.449869745965366,56.74033810222055,55.0,55.0,55.0,19.75,-568.5,4.2
9071,90,beauce_5_sa_071,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,80.08159086593884,-24.0,286.66585289451035,302.49224406031624,281.5,352.8561805512662,69.81224761501997,55.0,51.25004443620473,73.74758083944722,55.0,55.0,25.25,-628.7,4.48
9072,90,beauce_5_sa_072,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,59.34939913256604,-40.08945137764618,249.98652413898947,269.7690603656692,281.5,374.8010482230307,62.68395913279461,55.550013344721656,12.004454653044265,55.0,55.0,55.0,18.23,-581.06,3.9
9073,90,beauce_5_sa_073,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,89.99920599986805,-24.0,208.23040708601596,266.5,281.5,329.33315275428805,49.28428352827292,28.76348696672735,55.0,55.0,55.0,55.0,32.87,-640.57,4.56
9074,90,beauce_5_sa_074,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,98.6046644102149,-24.0,298.9188080003445,221.72640539862144,281.5,361.1985397381827,16.340919310593996,57.92213588216338,78.15184843235117,55.0,55.0,55.0,27.84,-623.36,4.27
9075,90,beauce_5_sa_075,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.42437696121567,-24.0,163.20087884344775,266.5,281.5,353.79127119794435,82.10233091639732,55.0,55.0,55.0,55.0,55.0,22.82,-599.81,4.18
9076,90,beauce_5_sa_076,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,79.25788679916695,-24.0,297.9214010142699,255.9326979740526,321.2547339983354,372.5601699843807,92.67605350645395,55.0,25.513330486792704,53.738206171005885,30.393676097595257,55.0,26.52,-607.47,4.16
9077,90,beauce_5_sa_077,2.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,83.02261991028932,-24.0,128.8988518700416,266.5110583539515,281.5,375.89516039618707,94.8277077208005,42.722579244887555,83.21438282374307,45.39636754269038,55.0,55.0,27.84,-627.22,4.24
9078,90,beauce_5_sa_078,2.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,58.92327588212603,-38.68548259876435,140.32241402344468,310.0506301843016,281.5,335.9482328366208,60.39620722625869,71.25485069350853,80.11635604817478,18.357376168492756,55.0,55.0,16.33,-565.24,4.02
9079,90,beauce_5_sa_079,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,54.47958984214741,-24.0,280.1402724363727,266.5,281.5,348.3975536236574,48.821554424514744,14.82321448976589,55.0,55.0,55.0,55.0,22.38,-599.41,4.01
9080,90,beauce_5_sa_080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.97187760506377,-24.0,214.5,266.5,281.5,349.0985085069062,55.0,55.0,55.0,55.0,55.0,55.0,23.22,-608.47,4.12
9081,90,beauce_5_sa_081,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,91.37372187321272,-33.10259101328026,193.25252882172293,266.5,281.5,327.4845881275482,36.70048983359548,55.0,55.0,55.0,55.0,55.0,29.87,-628.82,4.54
9082,90,beauce_5_sa_082,3.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,101.16624457632936,-24.0,182.85710521437343,307.73280165126806,308.61664662840496,366.20035012071656,46.091601721459696,55.0,68.4031733172983,20.595093490211777,19.220073542555955,67.79850817086646,28.77,-615.34,4.2
