feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,Milieu (Climat),Milieu (Sol),N_lixi,dCorg,rdt,point_idx,parcelle
2,2,59.0,-26.0,3.6,24.8,21.8,202.0,232.0,393.0,356.0,70.2,13.5,10.0,0,0,0.9989473684210528,-36.88263157894737,8.694444444444445,87,beauce_5_sa_087
2,0,67.0,-20.0,3.5,15.0,10.0,212.0,232.0,393.0,347.0,80.9,28.0,10.0,0,0,1.9110526315789476,-45.52105263157895,8.967777777777778,88,beauce_5_sa_088
3,1,94.0,-31.0,1.3,13.4,10.0,210.0,278.0,291.0,333.0,61.2,65.6,74.5,0,0,9.833684210526316,12.779473684210526,8.955555555555556,89,beauce_5_sa_089
1,0,105.0,-20.0,1.3,15.0,10.0,269.0,383.0,393.0,349.0,76.7,10.0,10.0,0,0,3.1042105263157898,-65.40157894736842,8.314444444444444,90,beauce_5_sa_090
1,2,101.0,-26.0,1.6,15.0,5.3,183.0,383.0,393.0,333.0,46.8,10.0,10.0,0,0,2.110526315789474,-32.31421052631579,7.427777777777777,91,beauce_5_sa_091
3,0,62.0,-20.0,3.7,15.0,10.0,161.0,230.0,295.0,342.0,36.2,24.3,15.2,0,0,1.9810526315789472,-83.55789473684212,8.600000000000001,92,beauce_5_sa_092
2,1,63.0,-6.0,3.0,1.7,10.0,186.0,227.0,393.0,359.0,35.0,14.5,10.0,0,0,1.6363157894736842,-84.22736842105263,7.703333333333333,93,beauce_5_sa_093
1,2,65.0,-6.0,1.7,22.4,6.9,119.0,383.0,393.0,12.0,67.2,10.0,10.0,0,0,5.701578947368421,-112.04210526315792,8.078888888888889,94,beauce_5_sa_094
3,0,82.0,-20.0,3.0,15.0,10.0,294.0,295.0,296.0,357.0,36.3,74.9,65.2,0,0,15.714736842105262,-23.304210526315785,8.815555555555555,95,beauce_5_sa_095
2,0,55.0,-20.0,2.6,15.0,10.0,131.0,265.0,393.0,354.0,80.1,38.4,10.0,0,0,5.915263157894737,-80.17894736842106,8.954444444444444,96,beauce_5_sa_096
2,1,81.0,-33.0,4.0,18.6,10.0,210.0,295.0,393.0,338.0,45.0,25.6,10.0,0,0,1.4984210526315789,-15.658421052631578,8.324444444444445,97,beauce_5_sa_097
0,0,75.0,-20.0,1.3,15.0,10.0,259.0,383.0,393.0,365.0,10.0,10.0,10.0,0,0,1.7421052631578948,-159.7821052631579,5.52,98,beauce_5_sa_098
3,2,70.0,-13.0,2.3,16.4,2.0,214.0,238.0,281.0,347.0,72.7,14.8,99.5,0,0,8.390526315789472,-5.945789473684206,8.991111111111111,99,beauce_5_sa_099
0,0,49.0,-20.0,2.8,15.0,10.0,259.0,383.0,393.0,331.0,10.0,10.0,10.0,0,0,1.4089473684210525,-137.8578947368421,5.555555555555555,100,beauce_5_sa_000
1,0,51.0,-20.0,3.5,15.0,10.0,175.0,383.0,393.0,341.0,20.4,10.0,10.0,0,0,1.579473684210526,-115.32894736842104,6.489999999999999,101,beauce_5_sa_001
3,2,77.0,-38.0,3.3,11.9,21.6,196.0,261.0,290.0,337.0,28.9,24.0,61.6,0,0,2.1621052631578945,-4.855789473684213,8.901111111111112,102,beauce_5_sa_002
1,0,61.0,-20.0,2.8,15.0,10.0,108.0,383.0,393.0,4.0,30.3,10.0,10.0,0,0,2.9105263157894736,-174.22684210526316,7.171111111111112,103,beauce_5_sa_003
3,2,86.0,-11.0,2.0,17.8,18.5,317.0,318.0,319.0,338.0,37.1,99.2,10.9,0,0,12.251052631578949,-15.10736842105263,8.742222222222223,104,beauce_5_sa_004
0,2,56.0,-4.0,2.6,24.6,7.1,259.0,383.0,393.0,335.0,10.0,10.0,10.0,0,0,1.075263157894737,-106.1621052631579,5.277777777777778,105,beauce_5_sa_005
1,0,93.0,-20.0,1.1,15.0,10.0,147.0,383.0,393.0,3.0,82.8,10.0,10.0,0,0,5.126842105263158,-97.33947368421052,8.526666666666666,106,beauce_5_sa_006
2,0,86.0,-20.0,1.9,15.0,10.0,256.0,258.0,393.0,362.0,11.4,21.1,10.0,0,0,2.0426315789473684,-164.8021052631579,7.495555555555557,107,beauce_5_sa_007
0,2,104.0,-29.0,1.2,2.7,18.9,259.0,383.0,393.0,345.0,10.0,10.0,10.0,0,0,1.0247368421052632,-89.12,5.363333333333333,108,beauce_5_sa_008
