parametre,Sobol_S1,Sobol_ST,sortie,region,n_region,Q2_cv,status,part_des_points
n_ferti,0.0003077844510858335,0.013966066327760495,rdt,R01,4152,0.6699622323062706,ok,0.4152
has_prepa,0.00765489146148748,0.043558401892165734,rdt,R01,4152,0.6699622323062706,ok,0.4152
nb_prepa,0.00765489146148748,0.043550548672782456,rdt,R01,4152,0.6699622323062706,ok,0.4152
prepa_1,0.00765489146148748,0.11332614706314609,rdt,R01,4152,0.6699622323062706,ok,0.4152
nb_f1,0.004784307163424737,0.6332115317495749,rdt,R01,4152,0.6699622323062706,ok,0.4152
type_f1_1,0.0,0.0,rdt,R01,4152,0.6699622323062706,ok,0.4152
nb_f2,0.004784307163424737,0.004784307163424737,rdt,R01,4152,0.6699622323062706,ok,0.4152
type_f2_1,0.0,0.0,rdt,R01,4152,0.6699622323062706,ok,0.4152
nb_f3,0.004784307163424737,0.013832940229197106,rdt,R01,4152,0.6699622323062706,ok,0.4152
type_f3_1,3.2454514124358935e-05,0.0032803022357753373,rdt,R01,4152,0.6699622323062706,ok,0.4152
prepa_2,0.00765489146148748,0.11332614706315292,rdt,R01,4152,0.6699622323062706,ok,0.4152
type_f1_2,0.0,0.0,rdt,R01,4152,0.6699622323062706,ok,0.4152
type_f2_2,0.0,0.0,rdt,R01,4152,0.6699622323062706,ok,0.4152
type_f3_2,0.0001426429129087317,0.008532613188180363,rdt,R01,4152,0.6699622323062706,ok,0.4152
Date_Semis,0.0,0.0015420372434578721,rdt,R01,4152,0.6699622323062706,ok,0.4152
Delta_PREPA_Semis,0.00765489146148748,0.11332614706315292,rdt,R01,4152,0.6699622323062706,ok,0.4152
Date_F1,0.0,0.0,rdt,R01,4152,0.6699622323062706,ok,0.4152
Date_F2,0.0,0.0,rdt,R01,4152,0.6699622323062706,ok,0.4152
Date_F3,0.0,0.0,rdt,R01,4152,0.6699622323062706,ok,0.4152
Date_Recolte,0.0006678471390908807,0.00217847150504978,rdt,R01,4152,0.6699622323062706,ok,0.4152
Dose_F1_1,0.0,0.0,rdt,R01,4152,0.6699622323062706,ok,0.4152
Dose_F1_2,0.0,0.8377449764809224,rdt,R01,4152,0.6699622323062706,ok,0.4152
Dose_F2_1,5.818313725380919e-06,5.818313725380919e-06,rdt,R01,4152,0.6699622323062706,ok,0.4152
Dose_F2_2,0.0,1.6199143572331455e-05,rdt,R01,4152,0.6699622323062706,ok,0.4152
Dose_F3_1,0.0,8.295242364122235e-06,rdt,R01,4152,0.6699622323062706,ok,0.4152
Dose_F3_2,1.351505441159117e-06,2.37717885075018e-05,rdt,R01,4152,0.6699622323062706,ok,0.4152
n_ferti,0.001416153895679902,0.009654396807268577,rdt,R02,2029,0.7812209183177664,ok,0.2029
has_prepa,0.012003916797650113,0.4892657942469754,rdt,R02,2029,0.7812209183177664,ok,0.2029
nb_prepa,0.007502447998547174,0.007502447998547174,rdt,R02,2029,0.7812209183177664,ok,0.2029
prepa_1,0.0,4.742216297313263e-07,rdt,R02,2029,0.7812209183177664,ok,0.2029
nb_f1,0.007502447998547174,0.007502447998547174,rdt,R02,2029,0.7812209183177664,ok,0.2029
type_f1_1,0.0,6.527516072345223e-07,rdt,R02,2029,0.7812209183177664,ok,0.2029
nb_f2,0.007502447998547174,0.47772656916607925,rdt,R02,2029,0.7812209183177664,ok,0.2029
