sortie,parametre_A,parametre_B,R2_A,R2_B,R2_additif,R2_interaction,R2_global,p_value_additif,p_value_global,n,n_A,n_B,n_cellules,df_model_global,df_resid_global
rdt,type_f2_2,Date_F1,0.00029318682449008094,0.0002616503214622498,0.0006105456033288492,0.0007854000486927637,0.001395945652021613,0.41161206998103606,0.52887366535014,10000,4,4,16,15.0,9984.0
rdt,nb_f2,type_f1_2,0.00022735231906161434,8.57195262245418e-05,0.0002879148737628956,0.001093401269804506,0.0013813161435674015,0.5783747523798376,0.05456928070912719,10000,2,4,8,7.0,9992.0
rdt,type_f2_1,type_f3_2,1.8295548649365763e-05,0.0003906952807433973,0.0004211296616976057,0.0009020806229266265,0.0013232102846242322,0.6482709806224132,0.5846704047586108,10000,4,4,16,15.0,9984.0
rdt,nb_f2,type_f3_2,0.00022735231906161434,0.0003906952807433973,0.0007005998454103768,0.0006118139436653847,0.0013124137890757614,0.13558993169198727,0.06910821207946065,10000,2,4,8,7.0,9992.0
rdt,n_ferti,Dose_F2_1,0.00018381051368310098,0.0007727274197186274,0.0009653079398722619,0.0003286159138899958,0.0012939238537622577,0.0856733788067987,0.07357155583224877,10000,4,3,8,7.0,9992.0
rdt,type_f1_1,nb_f2,0.0007008623127864762,0.00022735231906161434,0.0009226156715261835,0.00036443543858744043,0.001287051110113624,0.05567568158698566,0.07529636206993162,10000,4,2,8,7.0,9992.0
rdt,type_f1_1,Dose_F3_1,0.0007008623127864762,3.624659605945444e-06,0.0007055105331753575,0.0005434893242368677,0.0012489998574122252,0.1330219251961865,0.08552685787528785,10000,4,2,8,7.0,9992.0
rdt,type_f1_2,Date_F1,8.57195262245418e-05,0.0002616503214622498,0.00037902250897225986,0.000841660418993806,0.0012206829279660658,0.7051984974173318,0.6636274356624672,10000,4,4,16,15.0,9984.0
rdt,type_f3_1,Date_F2,0.0005398501670989884,7.672319741600563e-05,0.0005858993016893965,0.0006311884843950288,0.0012170877860844254,0.20997823736786517,0.09505531888252272,10000,4,2,8,7.0,9992.0
rdt,type_f1_2,type_f3_2,8.57195262245418e-05,0.0003906952807433973,0.0004995871546799036,0.000709307579473184,0.0012088947341530876,0.5445031703186678,0.6726018236123358,10000,4,4,16,15.0,9984.0
rdt,n_ferti,type_f1_2,0.00018381051368310098,8.57195262245418e-05,0.000262990863802548,0.0009404695195064372,0.0012034603833089852,0.8537673999398943,0.44309577362293723,10000,4,4,13,12.0,9987.0
rdt,type_f2_2,Dose_F1_1,0.00029318682449008094,8.095593050912463e-05,0.0004121060548306632,0.0007897831188042881,0.0012018891736349513,0.660461412293947,0.6779165283311372,10000,4,4,16,15.0,9984.0
rdt,Dose_F1_2,Dose_F2_1,4.9539639655470464e-08,0.0007727274197186274,0.0007727769250907013,0.000426944357692971,0.0011997212827836723,0.05197948480999166,0.0348013075633755,10000,2,3,6,5.0,9994.0
rdt,type_f1_1,Date_F2,0.0007008623127864762,7.672319741600563e-05,0.0007847853578744068,0.00036992296954652115,0.001154708327420928,0.09731552190605944,0.1164600340233621,10000,4,2,8,7.0,9992.0
rdt,nb_f1,type_f1_1,2.4160073824904214e-05,0.0007008623127864762,0.0007193072583723259,0.000412932458922044,0.00113223971729437,0.12604456252081603,0.1251540567299094,10000,2,4,8,7.0,9992.0
rdt,type_f3_2,Dose_F3_2,0.0003906952807433973,0.00014489256622967757,0.00042839820452045263,0.0006877663610409535,0.001116164565561406,0.3690352976272095,0.1317180905863845,10000,4,2,8,7.0,9992.0
