point_idx,run,parcelle,n_ferti,nb_prepa,Date_Semis,Delta_PREPA_Semis,Profondeur_Semis,Profondeur_Prepa_1,Profondeur_Prepa_2,Date_F1,Date_F2,Date_F3,Date_Recolte,Dose_F1,Dose_F2,Dose_F3,N_lixi,dCorg,rdt
266,smt_002,beauce_5_sa_066,0,2,94.03298446305767,-29.37004650546964,2.512077314410109,6.8812562992924455,1.5865243896844956,158.0,237.5,294.0,353.75868496893685,10.0,10.0,10.0,2.133,-459.61899999999997,5.592222222222222
267,smt_002,beauce_5_sa_067,1,2,74.20982930203877,-37.67655854147808,2.3316034841912923,2.5283300054113784,21.81566902604161,117.36140474997808,237.5,294.0,326.5737177177672,3.179050540287305,10.0,10.0,2.169,-426.933,5.596666666666667
268,smt_002,beauce_5_sa_068,3,0,93.02684474596724,-24.0,1.4179664643942338,13.0,13.0,146.20725924325296,261.3811258870071,278.00959490293013,329.4091109150868,64.6132845336502,8.233114830190228,3.9482592825392326,11.175999999999998,-395.78,8.402222222222223
269,smt_002,beauce_5_sa_069,1,1,77.55048515089106,-34.3665351403475,3.722824045990924,22.828349819202177,13.0,123.80860863285824,237.5,294.0,355.9957654427968,51.63368443576136,10.0,10.0,8.103,-375.24300000000005,7.723333333333334
270,smt_002,beauce_5_sa_070,0,1,100.40449372584465,-13.82645770819562,2.502062308412242,4.718167782035312,13.0,158.0,237.5,294.0,330.1719435264727,10.0,10.0,10.0,4.952,-464.60699999999997,5.155555555555555
271,smt_002,beauce_5_sa_071,1,2,65.66910349677254,-15.813391638006742,2.129780492943937,11.9432248047961,12.269938882938598,175.07620185686147,237.5,294.0,378.9191561567246,1.0557980366682618,10.0,10.0,3.199,-444.425,5.406666666666666
272,smt_002,beauce_5_sa_072,2,2,100.51294314867022,-19.36270920208901,3.3768155974922687,5.036402788908148,3.001670780395745,193.53658224049627,239.54794415191444,294.0,357.5455690611734,18.09279869188344,1.4898993931802864,10.0,3.006,-404.302,6.515555555555555
273,smt_002,beauce_5_sa_073,1,0,101.22341270286223,-24.0,2.093182901459465,13.0,13.0,205.20719808451685,237.5,294.0,350.66528791882786,29.65512182293571,10.0,10.0,4.481,-404.56899999999996,6.917777777777777
274,smt_002,beauce_5_sa_074,2,2,84.98171789787784,-14.60506565898351,2.977419104267527,23.804531036929543,15.831302090194535,155.03268793224885,241.95166610509187,294.0,369.7003046736006,8.87483333343369,3.95359460005243,10.0,2.8810000000000002,-438.658,6.237777777777778
275,smt_002,beauce_5_sa_075,3,1,76.35227782285847,-6.2969720988485065,3.4454732157877612,12.781658586805737,13.0,152.2153379562559,216.2036636562436,317.7795661550978,377.28516940752905,1.5173446573989753,70.10464685471297,6.258510912024839,4.769,-317.67999999999995,8.515555555555556
276,smt_002,beauce_5_sa_076,1,0,99.74766247220111,-24.0,3.907878315204148,13.0,13.0,164.8079900301259,237.5,294.0,358.0352011168617,3.3986602851082943,10.0,10.0,4.2909999999999995,-487.21099999999996,5.676666666666667
277,smt_002,beauce_5_sa_077,0,1,95.34111341753294,-21.758281949772297,1.3128497095178413,23.664459662361395,13.0,158.0,237.5,294.0,364.3574927791428,10.0,10.0,10.0,2.71,-441.05100000000004,5.3533333333333335
278,smt_002,beauce_5_sa_078,2,0,45.19356603962255,-24.0,3.6346462330444336,13.0,13.0,138.17735315891497,217.1226688399301,294.0,347.33992250020435,1.1532210976744417,16.073814179357168,10.0,3.629,-441.662,6.377777777777777
279,smt_002,beauce_5_sa_079,2,1,55.75009527673969,-37.98100720022323,1.798341265297269,7.866592045654004,13.0,155.3773394230759,241.3218873181225,294.0,340.6092766422545,42.73942611850839,36.64429214130298,10.0,2.037,-303.49899999999997,8.683333333333334
280,smt_002,beauce_5_sa_080,3,0,97.03044652817556,-24.0,3.8264805268085422,13.0,13.0,112.2199799663286,226.85176639241513,315.3472187743963,351.90701445783316,18.280770062164457,12.81123345444435,99.67502801520612,20.788999999999998,-320.914,8.860000000000001
281,smt_002,beauce_5_sa_081,0,1,54.35916889388554,-20.125846370440534,3.8621947028455974,4.2600017312531,13.0,158.0,237.5,294.0,336.9521427094729,10.0,10.0,10.0,1.612,-442.27200000000005,5.428888888888888
282,smt_002,beauce_5_sa_082,3,1,93.79058655999007,-15.872527110234202,2.1629456319649822,2.3307530186878536,13.0,142.75039641546638,223.51366963911613,312.84397548543905,383.4063954006891,47.50154693208001,3.1965261302803905,17.10376104758369,8.48,-402.27000000000004,8.29888888888889
283,smt_002,beauce_5_sa_083,1,1,48.78782607795635,-4.9223375625768355,1.8919343734471008,13.926022275270636,13.0,120.34665178009452,237.5,294.0,362.75077122632786,1.8455309994951432,10.0,10.0,3.399,-458.77,5.4255555555555555
284,smt_002,beauce_5_sa_084,3,2,81.8436364178915,-20.061717142810323,1.6739756740216216,24.75511828162997,23.68663988693928,118.53896725280865,255.84835634806933,293.4626386914788,332.0437103470435,12.254432460082354,1.2805097460328656,54.94912580614226,8.059000000000001,-278.664,7.871111111111111
285,smt_002,beauce_5_sa_085,1,2,62.32058809028401,-27.878012886455593,2.05188561475751,20.35867901302305,10.50595527248744,182.0085827890399,237.5,294.0,359.79098475715097,36.37973379096142,10.0,10.0,2.248,-355.578,7.265555555555555
286,smt_002,beauce_5_sa_086,3,1,88.36715170788727,-34.29640591541829,1.945515576377434,7.461087722395801,13.0,168.43793258884787,231.22282131134125,269.7336880124374,357.1442910386719,13.249243734805868,10.755521692339,28.999775023724467,2.414,-355.89700000000005,8.042222222222222
287,smt_002,beauce_5_sa_087,3,1,72.20395161416687,-5.079029961277058,2.8156732210332276,17.454205396077864,13.0,166.06817174129105,257.5848203618653,314.70005120485615,329.9247285729423,4.743718837116874,60.20752294583695,1.0224036798543852,4.7010000000000005,-275.65500000000003,7.946666666666666
288,smt_002,beauce_5_sa_088,1,0,82.38937044825987,-24.0,3.2011413878107104,13.0,13.0,186.9851054879899,237.5,294.0,353.9016844920979,13.400307430066048,10.0,10.0,3.7649999999999997,-434.43,6.16
289,smt_002,beauce_5_sa_089,3,2,88.28136050259309,-14.30992096330661,3.2297953104964066,14.96768404541014,17.093207151059588,152.14449335132537,251.28893900271248,267.2239709877328,363.046959110141,3.812822023110848,5.819386896325519,2.8888175808666627,2.606,-417.43199999999996,6.12
290,smt_002,beauce_5_sa_090,3,2,97.61558224262788,-34.42320024711998,2.6763474384879435,2.1302421472765283,3.410994037320035,198.49904281697613,229.15743440845063,290.8602588532337,367.65562466512273,5.096841106453229,39.006095983647015,9.228963088525475,3.13,-370.544,8.03
291,smt_002,beauce_5_sa_091,0,2,65.99854500241568,-12.505613732699665,1.9016494837960416,20.270047689704484,3.4185306167002865,158.0,237.5,294.0,348.9059289321194,10.0,10.0,10.0,2.178,-433.308,5.344444444444445
292,smt_002,beauce_5_sa_092,3,2,52.83466493834454,-28.82801245662673,1.421242834080614,7.104182725674423,17.708682908580165,209.68863002981317,249.50203559385665,295.639379219279,371.2774579058539,26.70321477534723,3.5251689153729595,2.2073288037871155,2.196,-375.617,7.083333333333333
293,smt_002,beauce_5_sa_093,2,1,58.55778174536249,-18.406896176716817,2.7282010927665192,20.613532294390616,13.0,198.30231671440777,219.55592046817927,294.0,378.6498659368811,64.92515181469722,9.406520492846786,10.0,4.462,-305.634,8.440000000000001
294,smt_002,beauce_5_sa_094,1,1,61.39364193210302,-28.9758256241674,3.87702634569214,15.047455812557663,13.0,177.77955483226208,237.5,294.0,367.77699287922906,58.593479919733774,10.0,10.0,3.123,-307.79,8.02111111111111
295,smt_002,beauce_5_sa_095,2,0,68.08317034556505,-24.0,1.8511988901586376,13.0,13.0,176.8105458129079,233.32007478592035,294.0,348.9029776702026,18.91228601626338,27.693196847789824,10.0,3.8979999999999997,-495.784,8.086666666666666
296,smt_002,beauce_5_sa_096,2,0,61.978619566882145,-24.0,1.9605113609756035,13.0,13.0,110.86872849897458,241.9203291844512,294.0,325.50265270195456,5.311891048559511,3.477090682714959,10.0,2.996,-407.561,5.701111111111111
297,smt_002,beauce_5_sa_097,2,2,105.41888131022527,-17.200045125343905,1.0394334897595077,14.596725049435136,23.894053830919585,187.96556026725833,252.18704607475135,294.0,323.15318676574054,53.26821109794891,3.0468054296317892,10.0,7.699,-324.448,7.626666666666667
298,smt_002,beauce_5_sa_098,2,2,102.77538821282204,-9.115842937896817,2.849097646399429,4.425993869084072,9.947407479804143,196.67863467653808,219.46370898130724,294.0,355.72305279026574,5.28885578678763,55.20978142695069,10.0,4.529999999999999,-357.008,8.11111111111111
299,smt_002,beauce_5_sa_099,3,1,59.56455101960472,-39.51827094070964,1.2237173464660538,10.093753936219994,13.0,188.5617996825925,254.23981098409928,297.3721256150051,378.23477715640126,7.187228348054138,6.281090159565133,51.42202345977902,5.957,-299.66499999999996,7.813333333333333
