point_idx,run,parcelle,n_ferti,nb_prepa,Date_Semis,Delta_PREPA_Semis,Profondeur_Semis,Profondeur_Prepa_1,Profondeur_Prepa_2,Date_F1,Date_F2,Date_F3,Date_Recolte,Dose_F1,Dose_F2,Dose_F3,climat,N_lixi,dCorg,rdt
977,smt_010,clim2_nancy_p05,2,0,52.64460841021298,-24.0,2.60034975453969,13.0,13.0,203.64560653080923,223.199328014871,294.0,336.7331576574867,8.385671088188195,15.292556945730697,10.0,semi_continental,5.404,-409.53499999999997,6.477777777777778
978,smt_010,clim2_nancy_p06,2,0,67.62058025137367,-24.0,3.762533843393768,13.0,13.0,126.0751736836288,255.46727597252823,294.0,357.93218259630663,8.05598375385743,51.182489482037106,10.0,semi_continental,9.15,-371.113,7.874444444444445
979,smt_010,clim2_nancy_p07,1,1,68.31532388756821,-29.09826991754427,3.557534988244778,6.022556431454543,13.0,141.08347018844017,237.5,294.0,365.5952494540185,14.42092782011691,10.0,10.0,semi_continental,7.061,-393.27,5.834444444444444
980,smt_010,clim2_nancy_p08,1,0,73.79174306021415,-24.0,2.8593665421911134,13.0,13.0,164.11784564479592,237.5,294.0,363.1853552679697,1.1467174595045568,10.0,10.0,semi_continental,7.486,-490.134,5.3133333333333335
981,smt_010,clim2_nancy_p09,2,0,49.428191315202625,-24.0,3.3336058403183015,13.0,13.0,126.33443254969734,215.16595896242228,294.0,383.3868922473629,56.71959201948009,79.85536817796851,10.0,semi_continental,25.506,-282.92,8.95111111111111
982,smt_010,clim2_nancy_p10,0,0,61.572176848400574,-24.0,1.0972373887435802,13.0,13.0,158.0,237.5,294.0,382.5460925410472,10.0,10.0,10.0,semi_continental,7.679,-446.23600000000005,4.922222222222222
983,smt_010,clim2_nancy_p11,2,2,95.90462283847911,-35.060763946517135,2.5619305614888743,9.66809466797022,9.437002246823644,198.44091256782548,243.38109141525217,294.0,328.17703526451294,18.03397294423276,3.562450426048012,10.0,semi_continental,7.6049999999999995,-358.336,5.962222222222222
984,smt_010,clim3_orléans_p00,3,1,61.042136410113656,-22.014449988943667,3.2106250278334563,21.96404614227621,13.0,112.5371726795144,241.54939073619977,281.3301829179917,369.7106798735013,16.187216685514336,52.529035922870655,2.457340827016125,oceanique_degrade,4.961,-314.419,8.32
985,smt_010,clim3_orléans_p01,2,0,86.00268839494804,-24.0,1.313962780220117,13.0,13.0,116.30071602900924,256.3128851393085,294.0,381.99555356445813,81.82303134136811,1.1714688332208667,10.0,oceanique_degrade,18.339000000000002,-438.479,8.484444444444444
986,smt_010,clim3_orléans_p02,3,2,95.16902240833176,-24.059832646548863,2.7646792299774594,3.0990363391341784,21.26328873590547,181.35911170384676,254.5519210487316,273.57580868106555,339.6644451991187,3.07513559622605,27.92119223579432,1.4450176345158794,oceanique_degrade,2.778,-356.591,7.002222222222223
987,smt_010,clim3_orléans_p03,2,2,76.15200573847753,-18.73713204190412,2.3672851884476467,23.84127332446878,4.81669485813699,126.9485844327926,221.59227987388985,294.0,381.1719065283244,73.96646776579759,47.97130342929566,10.0,oceanique_degrade,15.800999999999998,-275.498,8.977777777777778
988,smt_010,clim3_orléans_p04,1,2,64.76547944902033,-15.901371610906448,1.302092364361268,23.305821189696143,11.469681721907545,150.71688424883365,237.5,294.0,349.96809643260616,5.769410956704084,10.0,10.0,oceanique_degrade,2.789,-431.996,5.635555555555555
989,smt_010,clim3_orléans_p05,3,0,91.31551415328748,-24.0,1.9740832176301015,13.0,13.0,209.22091092504976,225.009647202417,267.2558376635747,344.74827188876895,55.798451464037875,2.900208871062339,31.39964055806856,oceanique_degrade,6.731,-254.80599999999998,8.661111111111111
990,smt_010,clim3_orléans_p06,3,1,54.53285336617313,-30.887371585592525,3.7771620323627495,1.8057676253775163,13.0,144.0078804612361,213.87332395651669,319.30495920074566,383.7377252115179,3.452154693077461,3.4984579100177657,4.819596919731761,oceanique_degrade,3.5120000000000005,-501.712,6.306666666666667
991,smt_010,clim3_orléans_p07,2,2,54.59474922132678,-14.793952910069224,3.971340232528333,4.550979343727294,7.911418004568542,171.30199550907923,260.82215938319257,294.0,352.1587554973943,52.83328799876016,3.782878141884512,10.0,oceanique_degrade,4.295,-357.963,7.997777777777778
992,smt_010,clim3_orléans_p08,2,1,105.81390089610257,-12.458646521671293,2.330096026225221,1.470700658165006,13.0,201.68649412023868,239.5159716306249,294.0,380.56210923424754,6.579408121114051,26.307164622335716,10.0,oceanique_degrade,6.186,-437.509,7.121111111111111
993,smt_010,clim3_orléans_p09,1,1,95.88093823491548,-23.482892117939027,3.639854606180617,22.127933638379496,13.0,132.71695202526547,237.5,294.0,354.76588188782955,45.00165596292304,10.0,10.0,oceanique_degrade,8.731,-395.424,7.382222222222222
994,smt_010,clim3_orléans_p10,1,1,77.78611030920945,-36.836728931634546,1.505501914898243,3.884402256089072,13.0,113.035510839829,237.5,294.0,338.00161197813253,9.671322879657223,10.0,10.0,oceanique_degrade,3.015,-481.35599999999994,6.263333333333334
995,smt_010,clim3_orléans_p11,2,2,97.21673058895314,-11.24017655794674,2.1099167266015435,20.81372060037024,12.094996694849392,147.83775193357562,264.1453769724592,294.0,361.42168199321407,57.465026145099614,16.022204070371803,10.0,oceanique_degrade,10.166,-356.26800000000003,8.321111111111112
996,smt_010,clim4_poitiers_p00,2,2,51.966243521299354,-23.99387303462388,3.3955456322262174,15.443359707326255,15.212122652767192,113.70059233145749,216.59792341677112,294.0,341.7512420754215,10.008692108025048,6.553889172439598,10.0,oceanique_altere,4.604,-443.226,6.357777777777778
997,smt_010,clim4_poitiers_p01,1,1,75.30613126589407,-43.22585761183794,2.7664020500195203,15.431441010030008,13.0,185.25945135892607,237.5,294.0,362.4110710972338,23.37743452675091,10.0,10.0,oceanique_altere,3.647,-418.18199999999996,6.748888888888889
998,smt_010,clim4_poitiers_p02,2,2,103.95241965083466,-30.401414703522057,3.7430182724021583,3.8603452980233417,23.38834542852935,147.57164543832883,218.18433086567836,294.0,364.3822172532431,2.7237627977391243,13.960878376958531,10.0,oceanique_altere,3.5729999999999995,-446.05699999999996,6.4688888888888885
999,smt_010,clim4_poitiers_p03,3,1,59.14470976423448,-33.59407811994217,3.408379092576684,6.3737173442805615,13.0,128.4540026270167,215.96526291231783,321.2914813344886,328.6419027168515,68.69853537521223,1.52610757146336,6.214068650778164,oceanique_altere,15.059999999999999,-330.996,8.149999999999999
1000,smt_010,clim4_poitiers_p04,2,2,87.50340904695278,-8.877575913057832,3.2951404845282584,24.68208757527261,11.16951439441226,129.50587027801942,226.8823231290116,294.0,343.96847668972697,3.554536301539174,60.44469094620652,10.0,oceanique_altere,3.2690000000000006,-324.248,8.185555555555556
1001,smt_010,clim4_poitiers_p05,3,2,48.5782757243093,-37.41605884749102,2.913671589403529,5.9838130659359,12.448322203348535,196.73871321689097,231.95054795343103,302.3603465840003,329.0051359296977,5.425341111642455,80.49557551658984,70.12127040949822,oceanique_altere,40.284,-288.866,8.82
1002,smt_010,clim4_poitiers_p06,1,2,63.1623859056124,-21.631701046554554,1.4974817032762266,17.974124039969876,6.474190273187261,200.68623757231865,237.5,294.0,367.45831929681367,77.42308650967315,10.0,10.0,oceanique_altere,4.118,-303.194,8.547777777777778
1003,smt_010,clim4_poitiers_p07,3,1,47.073483453242254,-13.15386822810045,1.3674162462863126,21.462297971158737,13.0,169.16530507484296,223.85175799205464,289.13421112285124,367.5915411956162,39.16810413225188,58.23695827890305,27.680129668883055,oceanique_altere,23.381999999999998,-328.585,8.79888888888889
1004,smt_010,clim4_poitiers_p08,3,1,64.84468614427112,-11.153633850431618,1.8382118098237612,21.681613177966085,13.0,197.6686915381717,227.7699554968865,279.8038832832745,339.59160476150413,42.885603386234166,45.36133808983055,79.54312290031356,oceanique_altere,26.204,-264.654,8.993333333333332
1005,smt_010,clim4_poitiers_p09,1,1,84.40247316852496,-18.02592913428137,2.538468581056311,4.852952132741161,13.0,128.56869004202298,237.5,294.0,324.6749739205518,62.27987973184388,10.0,10.0,oceanique_altere,16.016,-423.976,7.912222222222222
1006,smt_010,clim4_poitiers_p10,2,0,64.63297662195487,-24.0,2.328943414780651,13.0,13.0,161.75990778916542,258.6291685136713,294.0,369.44435554252385,1.2019060727680304,2.4227032280686314,10.0,oceanique_altere,4.1370000000000005,-502.98400000000004,5.757777777777778
1007,smt_010,clim4_poitiers_p11,2,2,47.01747961007036,-41.37682105674104,1.6323427362186922,2.572983984041855,10.371583219069423,162.60432127451173,238.800678232381,294.0,375.1370268011844,7.120810370166393,6.5567531358352,10.0,oceanique_altere,4.202,-480.88800000000003,6.432222222222222
