sortie,parametre_1,parametre_2,R2_interaction,R2_cellules,R2_additif,n,n_cellules
N_lixi,nb_f1,Dose_F1_2,0.11375232223654597,0.16765422948829733,0.05390190725175137,60,12
N_lixi,has_prepa,Jours_av_PREPA,0.11312793683034639,0.17893769202340548,0.0658097551930591,60,12
N_lixi,type_f2_1,Dose_F2_1,0.11256368142967266,0.1742124047404675,0.06164872331079485,60,12
N_lixi,Jours_op_recolte,Dose_F3_2,0.11236994230206787,0.15916919427208331,0.04679925197001544,60,16
N_lixi,Jours_F2_F3,Jours_op_recolte,0.11110642008285787,0.22628006461357808,0.11517364453072021,60,16
N_lixi,prepa_2,nb_f3,0.11024012109708092,0.14794131755546813,0.03770119645838721,60,9
N_lixi,prepa_1,nb_f1,0.11022880064226559,0.1546593987636642,0.0444305981213986,60,9
N_lixi,type_f2_1,Dose_F1_1,0.10949309025985632,0.1898189889181482,0.08032589865829187,60,12
N_lixi,has_prepa,Dose_F1_1,0.10900241556023982,0.15666674733879027,0.04766433177855045,60,12
N_lixi,type_f2_1,Dose_F1_2,0.10846294929945666,0.1725772532803983,0.06411430398094164,60,12
N_lixi,type_f1_2,Jours_av_PREPA,0.10846045228783374,0.17715733100661435,0.06869687871878061,60,12
N_lixi,nb_f2,Dose_F2_2,0.10841020440138727,0.214658171457215,0.10624796705582773,60,12
N_lixi,n_ferti,has_prepa,0.10781147282777948,0.12114795909321385,0.013336486265434377,60,9
N_lixi,nb_f1,Jours_F2_F3,0.1076039866606463,0.22473007342989249,0.11712608676924618,60,12
N_lixi,type_f1_2,Jours_semis_F1,0.10690531304111173,0.18123869723929986,0.07433338419818813,60,12
N_lixi,Jours_F1_F2,Jours_op_recolte,0.105815591171737,0.19056453365009962,0.08474894247836262,60,16
N_lixi,type_f1_1,Jours_av_PREPA,0.10546779822907193,0.19047817845481174,0.08501038022573981,60,12
N_lixi,prepa_2,Dose_F3_2,0.10486552972790064,0.1625217780546001,0.057656248326699466,60,12
N_lixi,prepa_1,type_f1_2,0.10404898219989,0.1306380662471306,0.026589084047240585,60,9
N_lixi,nb_f2,Dose_F1_1,0.10376231638272615,0.20058632226745055,0.0968240058847244,60,11
N_lixi,Jours_F1_F2,Dose_F3_1,0.10316135399643267,0.2265768190736992,0.12341546507726653,60,16
N_lixi,nb_f1,Jours_F1_F2,0.10214356962878068,0.18561492640948973,0.08347135678070905,60,12
N_lixi,nb_f3,Dose_F1_1,0.10199793815714131,0.1538634856382909,0.051865547481149576,60,12
N_lixi,n_ferti,type_f1_2,0.10140645438596152,0.10779078446836843,0.006384330082406908,60,9
N_lixi,Jours_F1_F2,Dose_F2_2,0.10064406367012813,0.2076034241359992,0.10695936046587107,60,16
N_lixi,Jours_op_recolte,Dose_F1_1,0.0997343287897795,0.17192004365026337,0.07218571486048386,60,16
N_lixi,type_f2_2,Jours_F1_F2,0.0996510520666456,0.2226579293399431,0.12300687727329751,60,12
N_lixi,n_ferti,Dose_F1_1,0.09931737368717386,0.14948380542463158,0.05016643173745772,60,12
N_lixi,nb_f3,Dose_F2_1,0.09909243405094292,0.13945486522274209,0.04036243117179916,60,12
N_lixi,nb_f1,nb_f2,0.0986480463885423,0.14484701625623797,0.04619896986769567,60,9
N_lixi,nb_f3,Dose_F1_2,0.09833300965537872,0.13377666066830063,0.035443651012921906,60,12
N_lixi,type_f1_2,Dose_F3_1,0.09728096725839297,0.14236525886859352,0.045084291610200555,60,12
N_lixi,Dose_F1_1,Dose_F1_2,0.09667080263473193,0.17492412565567572,0.07825332302094379,60,16
N_lixi,Dose_F1_1,Dose_F3_2,0.09588862514234453,0.17408713356373295,0.07819850842138842,60,16
N_lixi,type_f1_1,Dose_F1_2,0.09551002986779533,0.14154921833224343,0.0460391884644481,60,12
N_lixi,type_f3_1,Dose_F1_1,0.09538653456935975,0.1558320241756016,0.06044548960624185,60,12
N_lixi,nb_prepa,Jours_F1_F2,0.09509634309499504,0.17138186468480232,0.07628552158980728,60,12
N_lixi,prepa_2,Dose_F3_1,0.09482212675382362,0.16679520791074054,0.07197308115691692,60,12
N_lixi,type_f2_2,nb_f3,0.09412561904855554,0.18778151655793884,0.0936558975093833,60,9
N_lixi,type_f1_1,Dose_F3_1,0.09391067626010041,0.15013765214618802,0.056226975886087605,60,12
