annee;jourDebut;jourFin;parcelle;couvert;itk;delta_Corg[kg_eqCO2/ha];tx_MO_fin[%];emissions_N2O_denit[kg_eqCO2/ha];emissions_N2O_nit[kg_eqCO2/ha];emissions_volat[kg_eqCO2/ha];emissions_lixiv[kg_eqCO2/ha];emissions_ferti[kg_eqCO2/ha];bilan_net_GES[kg_eqCO2/ha];ratio_Corg_Arg[%]
2019;213;302;beauce_5_sa_052;solnu;;929.03;1.71;0.0;6.35;0.0;0.0;0.0;935.38;0.07
2019;303;365;beauce_5_sa_052;BTH;BTH;429.58;1.71;25.01;2.91;0.0;0.92;0.0;458.4;0.07
2019;213;286;beauce_5_sa_053;solnu;;825.98;1.71;0.0;5.66;0.0;0.0;0.0;831.64;0.07
2019;287;365;beauce_5_sa_053;BTH;BTH;532.8;1.71;19.68;3.6;0.0;0.93;0.0;557.0;0.07
2019;213;309;beauce_5_sa_054;solnu;;981.61;1.71;3.82;6.7;0.0;0.0;0.0;992.14;0.07
2019;310;365;beauce_5_sa_054;BTH;BTH;377.06;1.71;21.44;2.56;0.0;0.94;0.0;401.99;0.07
2019;213;271;beauce_5_sa_055;solnu;;744.43;1.71;0.0;5.12;0.0;0.0;0.0;749.55;0.07
2019;272;365;beauce_5_sa_055;BTH;BTH;613.05;1.71;11.95;4.13;0.0;1.04;0.0;630.18;0.07
2019;213;313;beauce_5_sa_056;solnu;;1013.89;1.71;5.22;6.96;0.0;0.0;0.0;1026.07;0.07
2019;314;365;beauce_5_sa_056;BTH;BTH;344.47;1.71;20.25;2.3;0.0;0.91;0.0;367.92;0.07
2019;213;283;beauce_5_sa_057;solnu;;811.3;1.71;0.0;5.57;0.0;0.0;0.0;816.87;0.07
2019;284;365;beauce_5_sa_057;BTH;BTH;547.49;1.71;21.76;3.69;0.96;1.01;61.93;636.84;0.07
2019;213;296;beauce_5_sa_058;solnu;;885.68;1.71;0.0;6.07;0.0;0.0;0.0;891.75;0.07
2019;297;365;beauce_5_sa_058;BTH;BTH;473.01;1.71;24.43;3.19;0.0;0.93;0.0;501.56;0.07
2019;213;295;beauce_5_sa_059;solnu;;878.9;1.71;0.0;6.02;0.0;0.0;0.0;884.92;0.07
2019;296;365;beauce_5_sa_059;BTH;BTH;479.33;1.71;24.19;3.24;0.0;0.89;0.0;507.65;0.07
2019;213;258;beauce_5_sa_060;solnu;;637.97;1.71;0.0;4.38;0.0;0.0;0.0;642.35;0.07
2019;259;365;beauce_5_sa_060;BTH;BTH;720.5;1.71;0.99;4.88;6.1;1.12;395.02;1128.59;0.07
2019;213;299;beauce_5_sa_061;solnu;;908.91;1.71;0.0;6.21;0.0;0.0;0.0;915.12;0.07
2019;300;365;beauce_5_sa_061;BTH;BTH;449.76;1.71;24.83;3.05;0.0;0.93;0.0;478.56;0.07
2019;213;310;beauce_5_sa_062;solnu;;986.4;1.71;4.01;6.76;0.0;0.0;0.0;997.17;0.07
2019;311;365;beauce_5_sa_062;BTH;BTH;372.28;1.71;21.32;2.5;0.0;0.94;0.0;397.04;0.07
2019;213;260;beauce_5_sa_063;solnu;;649.31;1.71;0.0;4.44;0.0;0.0;0.0;653.76;0.07
2019;261;365;beauce_5_sa_063;BTH;BTH;713.64;1.71;0.72;4.84;0.0;1.14;0.0;720.35;0.07
2019;213;289;beauce_5_sa_064;solnu;;838.89;1.71;0.0;5.73;0.0;0.0;0.0;844.62;0.07
2019;290;365;beauce_5_sa_064;BTH;BTH;517.48;1.71;21.45;3.52;0.0;0.86;0.0;543.3;0.07
2019;213;294;beauce_5_sa_065;solnu;;871.39;1.71;0.0;5.96;0.0;0.0;0.0;877.35;0.07
2019;295;365;beauce_5_sa_065;BTH;BTH;485.14;1.71;24.03;3.28;0.0;0.82;0.0;513.27;0.07
2019;213;258;beauce_5_sa_066;solnu;;637.98;1.71;0.0;4.38;0.0;0.0;0.0;642.36;0.07
2019;259;365;beauce_5_sa_066;BTH;BTH;721.0;1.71;0.83;4.88;0.0;1.12;0.0;727.83;0.07
2019;213;302;beauce_5_sa_067;solnu;;929.06;1.71;0.0;6.35;0.0;0.0;0.0;935.41;0.07
2019;303;365;beauce_5_sa_067;BTH;BTH;429.58;1.71;25.0;2.91;0.0;0.92;0.0;458.41;0.07
2019;213;265;beauce_5_sa_068;solnu;;688.01;1.71;0.0;4.74;0.0;0.0;0.0;692.75;0.07
2019;266;365;beauce_5_sa_068;BTH;BTH;669.03;1.71;18.19;4.51;5.95;1.11;385.49;1084.29;0.07
2019;213;311;beauce_5_sa_069;solnu;;994.12;1.71;4.87;6.83;0.0;0.0;0.0;1005.82;0.07
2019;312;365;beauce_5_sa_069;BTH;BTH;364.66;1.71;20.51;2.43;0.0;0.94;0.0;388.55;0.07
2019;213;287;beauce_5_sa_070;solnu;;832.73;1.71;0.0;5.68;0.0;0.0;0.0;838.41;0.07
2019;288;365;beauce_5_sa_070;BTH;BTH;526.03;1.71;20.08;3.58;0.0;0.93;0.0;550.61;0.07
2019;213;287;beauce_5_sa_071;solnu;;832.64;1.71;0.0;5.68;0.0;0.0;0.0;838.32;0.07
2019;288;365;beauce_5_sa_071;BTH;BTH;525.64;1.71;20.1;3.58;0.0;0.89;0.0;550.21;0.07
2019;213;290;beauce_5_sa_072;solnu;;844.36;1.71;0.0;5.77;0.0;0.0;0.0;850.12;0.07
2019;291;365;beauce_5_sa_072;BTH;BTH;514.57;1.71;22.22;3.5;0.0;0.96;0.0;541.25;0.07
2019;213;307;beauce_5_sa_073;solnu;;960.93;1.71;3.31;6.63;0.0;0.0;0.0;970.87;0.07
